Dataset,TotalTime,ParsingTime,EvaluteTime,PA,GA,FGA,FTA
Apache,110.81533479690552,110.73032784461977,0.0850069522857666,0.9949978837200354,1.0,1.0,0.8620689655172413
BGL,2416.500587463379,2374.6275823116302,41.87300515174866,0.989792844756536,0.9581604232626924,0.911854103343465,0.8541033434650456
Hadoop,646.61585688591,645.3599791526794,1.2558777332305908,0.93034729128355,0.9690987982866,0.9414225941422596,0.8242677824267781
HDFS,251.2847776412964,229.93774318695068,21.347034454345703,0.9999821808172468,0.9993690755694528,0.9032258064516128,0.9462365591397848
HealthApp,748.7898771762848,747.6262187957764,1.1636583805084229,0.9403372976637758,0.9823064681676508,0.9254658385093169,0.8198757763975155
HPC,593.4737372398376,592.4060852527618,1.0676519870758057,0.9936742420718718,0.8635403778710103,0.8048780487804879,0.8658536585365852
Linux,712.8914525508881,712.557181596756,0.3342709541320801,0.6987166088374231,0.7012248651812215,0.9212481426448736,0.7815750371471025
Mac,1984.257413864136,1982.4766511917117,1.7807626724243164,0.6581533983292461,0.8295851027772794,0.8707482993197279,0.5653817082388511
OpenSSH,148.81204223632812,147.8016815185547,1.0103607177734375,0.66298143664498,0.7218251279057575,0.9230769230769232,0.7948717948717949
OpenStack,145.27548122406006,144.86204648017883,0.4134347438812256,0.9376300377591122,1.0,1.0,0.7916666666666666
Proxifier,50.20412039756775,50.18180513381958,0.0223152637481689,0.9840525328330206,0.9352720450281424,0.7500000000000001,0.9166666666666666
Spark,1123.98118185997,1020.0711953639984,103.90998649597168,0.8568243080283646,0.9739939062340884,0.8165680473372781,0.6706114398422091
Thunderbird,4991.436955690384,4454.757515668869,536.6794400215149,0.6206453598703028,0.7485646237790063,0.8784761904761904,0.6171428571428572
Zookeeper,153.84971261024475,153.50762820243835,0.3420844078063965,0.9874920899923256,0.9868996809069244,0.8928571428571428,0.8452380952380952
Average,1005.5848951169422,954.7788315500532,50.80606356688908,0.8754019651862708,0.9049886067835591,0.895701509781377,0.796825739378371
