Dataset,TotalTime,ParsingTime,EvaluteTime,PA,GA,FGA,FTA
Apache,108.93191742897034,108.84060192108154,0.0913155078887939,0.9915348801415984,0.993073992843126,0.8852459016393444,0.7868852459016394
BGL,1359.490398645401,1319.5101280212402,39.98027062416077,0.9411587902301338,0.9407899921857136,0.8575757575757577,0.787878787878788
Hadoop,838.7118232250214,837.4263200759888,1.2855031490325928,0.9167856527753856,0.9741489946831264,0.9355509355509356,0.8066528066528066
HDFS,344.1659662723541,319.83150339126587,24.334462881088257,0.9484916375202144,0.9993716723347784,0.9361702127659574,0.9361702127659574
HealthApp,520.439035654068,519.2119934558868,1.2270421981811523,0.9478422177650968,0.9560816218913906,0.930379746835443,0.8670886075949367
HPC,1274.4734518527985,1273.4610331058502,1.0124187469482422,0.9932695796161752,0.8635403778710103,0.7757575757575758,0.7757575757575758
Linux,1519.5493507385254,1519.2148633003235,0.3344874382019043,0.3255298691526274,0.262238200744116,0.893491124260355,0.7573964497041421
Mac,2648.924496650696,2647.152745485306,1.7717511653900146,0.6153378391849592,0.7922523276910501,0.8446824789594491,0.5325172149961744
OpenSSH,140.05597710609436,139.06552267074585,0.9904544353485109,0.3869335015267306,0.605561963668348,0.8048780487804879,0.7560975609756098
OpenStack,88.49573183059692,88.08649277687073,0.4092390537261963,0.8404388533559374,0.9005355629190106,0.8913043478260869,0.6739130434782609
Proxifier,40.19308066368103,40.17390751838684,0.0191731452941894,0.8973733583489681,0.6645872420262664,0.5384615384615385,0.846153846153846
Spark,1401.153903245926,1299.584946393967,101.56895685195924,0.969000101212327,0.9721820998254632,0.7900763358778625,0.6717557251908397
Thunderbird,5286.077093839645,4743.1231808662415,542.9539129734039,0.6293299288719348,0.7045750311187168,0.8805224740683827,0.6292739147137917
Zookeeper,175.5745768547058,175.32072854042053,0.2538483142852783,0.9934161808463372,0.9930661209322365,0.9491525423728814,0.8813559322033898
Average,1124.7312002863202,1073.5717119659696,51.15948832035065,0.8140315993248874,0.8301432286238823,0.8509463586237184,0.7649212088548399
