Dataset,TotalTime,ParsingTime,EvaluteTime,PA,GA,FGA,FTA
Apache,44.789879322052,44.54873156547546,0.241147756576538,0.9949978837200354,1.0,1.0,0.8620689655172413
BGL,705.0970504283905,664.5422093868256,40.55484104156494,0.9898092549739692,0.9581604232626924,0.91324200913242,0.8614916286149163
Hadoop,1276.737030506134,1275.0494360923767,1.6875944137573242,0.9501925074864024,0.9699766102015078,0.9621848739495796,0.8487394957983194
HDFS,257.11885952949524,235.06238102912903,22.05647850036621,0.9999821808172468,0.9993690755694528,0.9032258064516128,0.9462365591397848
HealthApp,335.3189616203308,334.2416949272156,1.0772666931152344,0.9747968398354002,0.9976694256899912,0.9620253164556962,0.8797468354430381
HPC,294.5649948120117,293.54879093170166,1.0162038803100586,0.9938672707145316,0.8635589830413872,0.85,0.9
Linux,802.5870015621185,802.2564816474915,0.3305199146270752,0.8735002717277706,0.9654696710003764,0.937125748502994,0.778443113772455
Mac,2912.013027668,2910.2213983535767,1.7916293144226074,0.6932731223956776,0.9186853280698606,0.9015384615384616,0.5846153846153845
OpenSSH,84.70738673210144,83.69333481788635,1.014051914215088,0.66298143664498,0.7218251279057575,0.9230769230769232,0.7948717948717949
OpenStack,89.86033272743225,89.44885849952698,0.4114742279052734,0.9460054326886028,1.0,1.0,0.8125
Proxifier,30.50915575027465,30.485130786895752,0.0240249633789062,0.9840525328330206,0.9352720450281424,0.7500000000000001,0.9166666666666666
Spark,955.1972517967224,753.5164453983307,201.68080639839167,0.9539776911110508,0.9748707894318904,0.845691382765531,0.7094188376753506
Thunderbird,4128.13839840889,3136.4924037456512,991.6459946632384,0.6654566131451845,0.7554832940754119,0.8828483920367534,0.6401225114854517
Zookeeper,138.6173164844513,138.28366804122925,0.3336484432220459,0.9879767883349264,0.9868996809069244,0.8928571428571428,0.8571428571428571
Average,861.089760524886,770.8136403730938,90.27612015179224,0.9050621304591999,0.9319457467273853,0.9088440040547938,0.8137189036245186
