Dataset,TotalTime,ParsingTime,EvaluteTime,PA,GA,FGA,FTA
Apache,118.39151740074158,118.17710399627686,0.2144134044647216,0.9937858324675825,0.993073992843126,0.8571428571428571,0.8253968253968255
BGL,1279.802731513977,1238.2897944450378,41.51293706893921,0.9298178185163825,0.9528212726512284,0.849478390461997,0.7570789865871833
Hadoop,810.2831120491028,808.9552180767059,1.3278939723968506,0.948964681959854,0.9777213558305046,0.9623430962343096,0.8786610878661089
HDFS,332.28303503990173,309.2892644405365,22.993770599365234,0.9999779722665464,0.9993648670187524,0.9032258064516128,0.9462365591397848
HealthApp,543.9998891353607,542.7949259281158,1.204963207244873,0.97138337241165,0.9976694256899912,0.9589905362776024,0.8832807570977917
HPC,1459.3903229236605,1458.3865430355072,1.0037798881530762,0.9941463482701844,0.8615752067499558,0.7875,0.85
Linux,1458.485943555832,1458.1792905330658,0.3066530227661133,0.684963003218929,0.7054052924208855,0.9300291545189504,0.7609329446064139
Mac,2649.904288291931,2648.071819782257,1.8324685096740725,0.6719201706641147,0.904440058217198,0.8477611940298506,0.5507462686567164
OpenSSH,169.73896718025208,168.78055381774902,0.9584133625030518,0.386886549275605,0.4432089046509335,0.8048780487804879,0.7317073170731707
OpenStack,94.08788132667542,93.67575907707214,0.4121222496032715,0.930107112583802,1.0,1.0,0.7916666666666666
Proxifier,31.507803678512573,31.48684954643249,0.0209541320800781,0.9607410881801126,0.8467636022514071,0.64,0.8
Spark,1269.5331592559814,1161.4011385440826,108.1320207118988,0.7505789226915114,0.7535788386485772,0.8446215139442231,0.7410358565737052
Thunderbird,5014.51255941391,4457.41547870636,557.09708070755,0.6274185032958884,0.7034341269547267,0.8760520275439939,0.6602907421576129
Zookeeper,187.43673825263977,187.18524980545044,0.251488447189331,0.9908984422333824,0.9932007593607368,0.9462365591397848,0.870967741935484
Average,1101.382710644177,1048.7206421239036,52.66206852027348,0.8458278441453961,0.8665898359491445,0.8720185131804048,0.7891429824112475
